% Model:              IceShelf2D_forward.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 8 2025, 10:43
% Dimension:          2
% Nodes:              100000
% Expressions:        4
% Description:        Dependent variable u, Dependent variable v, Dependent variable H, given viscosity
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  H (m)                    nu (Pa*s)
14700                     100                      1.963879985143667E-6     -1.9320735521354814E-8   321.9434752556853        1.8199353497665973E13
14900                     100                      2.00685284260104E-6      -1.956247969958042E-8    321.20674215018954       1.8220188475911727E13
15100                     100                      2.0503737214031023E-6    -1.9789717724211595E-8   320.5385193013247        1.8241023454157484E13
15300                     100                      2.094443001588564E-6     -2.0000940046379923E-8   319.9374598309233        1.8261858432403234E13
15500                     100                      2.139066095281118E-6     -2.024634017552843E-8    319.1743960997746        1.828269341064899E13
15700                     100                      2.184235103383069E-6     -2.0450278021680242E-8   318.59492858628704       1.8303528388894742E13
15900                     100                      2.2299587332373094E-6    -2.0689951450655515E-8   317.85143405696033       1.8324363367140496E13
16100.000000000002        100                      2.2762317464641453E-6    -2.0913176350153302E-8   317.17712044996216       1.834519834538625E13
16299.999999999998        100                      2.323053989627966E-6     -2.1119055385639483E-8   316.5701816897429        1.8366033323632004E13
16500                     100                      2.370431807965912E-6     -2.1362455088382216E-8   315.8019202938653        1.8386868301877758E13
16700                     100                      2.418356819027934E-6     -2.1561997016842073E-8   315.2145306913676        1.8407703280123516E13
16900                     100                      2.466837750468801E-6     -2.1797741144883584E-8   314.4683856910454        1.8428538258369266E13
17100                     100                      2.5158690738198147E-6    -2.2017352867522586E-8   313.78924010252183       1.844937323661502E13
17300                     100                      2.565451177328927E-6     -2.2219498518710042E-8   313.1753077213296        1.8470208214860773E13
17500                     100                      2.6155903050046907E-6    -2.2459302976326845E-8   312.40556886288334       1.8491043193106527E13
17700                     100                      2.6662771569126296E-6    -2.265364285628597E-8    311.81339158869247       1.851187817135228E13
17900                     100                      2.7175218477055433E-6    -2.288720125381015E-8    311.063591113551         1.853271314959803E13
18100                     100                      2.7693181428549136E-6    -2.310279217418522E-8    310.3809998713678        1.855354812784379E13
18300                     100                      2.821665846409911E-6     -2.3299656201926116E-8   309.7635149313456        1.857438310608954E13
18500                     100                      2.8745722200076275E-6    -2.3537272956443877E-8   308.9915468500524        1.8595218084335297E13
18700                     100                      2.9280275056106217E-6    -2.372734776064274E-8    308.39376622226285       1.861605306258105E13
18900                     100                      2.982041675608367E-6     -2.3956831896982814E-8   307.6438816027861        1.8636888040826805E13
19100                     100                      3.0366083326889665E-6    -2.416875326603262E-8    306.9588805589165        1.865772301907256E13
19300                     100                      3.091727862517153E-6     -2.436197103713063E-8    306.33669729710635       1.8678557997318312E13
19500                     100                      3.1474072715686695E-6    -2.4595818183816766E-8   305.5656674939477        1.8699392975564062E13
19700                     100                      3.2036359772933403E-6    -2.4780792804003043E-8   304.9650660492451        1.872022795380982E13
19900                     100                      3.260425355157693E-6     -2.5007930172607963E-8   304.21399851605406       1.874106293205557E13
20099.999999999996        100                      3.3177682645228462E-6    -2.5215802505311357E-8   303.5276755362036        1.8761897910301324E13
20299.999999999996        100                      3.3756644773358243E-6    -2.540380916384387E-8    302.903828241752         1.8782732888547082E13
20500                     100                      3.4341220610858914E-6    -2.563524507769126E-8    302.1328890180523        1.8803567866792836E13
20700                     100                      3.4931300192154066E-6    -2.5816068925910772E-8   301.5286166021151        1.882440284503859E13
20900                     100                      3.5526994433449737E-6    -2.6038974058299922E-8   300.77943326698835       1.8845237823284344E13
21100                     100                      3.612823148432063E-6     -2.6243111267066495E-8   300.09261687616464       1.8866072801530094E13
21300                     100                      3.6735015097512157E-6    -2.6427534494370903E-8   299.4659560531144        1.8886907779775848E13
21500                     100                      3.7347422098794304E-6    -2.665500921669722E-8    298.6977790274961        1.89077427580216E13
21700                     100                      3.796533532078625E-6     -2.683083768555301E-8    298.09228089525044       1.892857773626736E13
21900                     100                      3.858887950256954E-6     -2.7051206376993137E-8   297.34382852694904       1.8949412714513113E13
22100                     100                      3.921797525927161E-6     -2.725124999108688E-8    296.6573590612472        1.8970247692758867E13
22300                     100                      3.9852620086853335E-6    -2.7430531578418834E-8   296.03054430476556       1.8991082671004617E13
22500                     100                      4.049290155563064E-6     -2.7655354699198757E-8   295.26422459367325       1.9011917649250375E13
22700                     100                      4.11386988708407E-6      -2.782712409233407E-8    294.65664797679125       1.9032752627496125E13
22900                     100                      4.179013272143764E-6     -2.8043097024189E-8      293.91155088681575       1.905358760574188E13
23100                     100                      4.244712443096243E-6     -2.8239342992075993E-8   293.2260806935064        1.9074422583987633E13
23300                     100                      4.31096772450333E-6      -2.8414998609727968E-8   292.59798353143213       1.9095257562233387E13
23500                     100                      4.377787401079185E-6     -2.863568564323525E-8    291.8361272358696        1.9116092540479145E13
23700                     100                      4.445158937788903E-6     -2.8802815120892242E-8   291.2276888138023        1.91369275187249E13
23900                     100                      4.51309541834233E-6      -2.9015733148403876E-8   290.4857535024962        1.915776249697065E13
24100                     100                      4.581588393669212E-6     -2.9207690778560167E-8   289.80222879343324       1.9178597475216402E13
24300                     100                      4.6506378426175055E-6    -2.9379206963048576E-8   289.17318173738835       1.9199432453462156E13
24500                     100                      4.7202526109023605E-6    -2.959597633103723E-8    288.41661408535055       1.922026743170791E13
24700.000000000004        100                      4.7904199224852855E-6    -2.97593265920789E-8     287.8065482669337        1.9241102409953664E13
24900.000000000004        100                      4.861152825742605E-6     -2.996793078261358E-8    287.06925427818203       1.926193738819942E13
25099.999999999996        100                      4.932442824534377E-6     -3.01560591567758E-8     286.38757241795804       1.928277236644517E13
25299.999999999996        100                      5.004289963688826E-6     -3.032334561937259E-8    285.7593306655294        1.930360734469093E13
25500                     100                      5.07670319926752E-6      -3.053640863049819E-8    285.00708590091926       1.932444232293668E13
25700                     100                      5.149669393176019E-6     -3.069540311208207E-8    284.39753489476084       1.9345277301182434E13
25900                     100                      5.223201949111972E-6     -3.090020787872085E-8    283.66426142169115       1.9366112279428188E13
26100                     100                      5.297292118047483E-6     -3.10842758605022E-8     282.98521927147635       1.938694725767394E13
26300                     100                      5.3719399399142945E-6    -3.124731160730995E-8    282.35827762919087       1.9407782235919695E13
26500                     100                      5.44715457849114E-6      -3.145657916255E-8       281.6107686852428        1.942861721416545E13
26700                     100                      5.522922553832892E-6     -3.1611249401517454E-8   281.00221214447146       1.9449452192411203E13
26900                     100                      5.599257583866927E-6     -3.1812177585053956E-8   280.27335889551114       1.947028717065696E13
27100                     100                      5.6761506901479144E-6    -3.1992155999647346E-8   279.59737353358867       1.949112214890271E13
27300                     100                      5.753601907141007E-6     -3.215095473268816E-8    278.9721748680863        1.9511957127148465E13
27500                     100                      5.831620584414948E-6     -3.235633824336923E-8    278.2297539040114        1.953279210539422E13
27700                     100                      5.910192933618613E-6     -3.2506712421461613E-8   277.6226266981911        1.9553627083639973E13
27900                     100                      5.9893329546213905E-6    -3.2703691086699384E-8   276.89853764515016       1.9574462061885727E13
28100                     100                      6.069031462703688E-6     -3.2879552404485526E-8   276.22597749814884       1.9595297040131484E13
28300                     100                      6.149288488135231E-6     -3.303412738783659E-8    275.6029210942455        1.9616132018377234E13
28500                     100                      6.230113546508655E-6     -3.3235546013122415E-8   274.86588856286284       1.963696699662299E13
28700                     100                      6.311492573515223E-6     -3.3381652061800704E-8   274.26058600439626       1.9657801974868742E13
28900                     100                      6.393439820221682E-6     -3.3574615223759517E-8   273.5415575999318        1.9678636953114496E13
29100                     100                      6.475945916977535E-6     -3.3746335344793444E-8   272.87274918576736       1.969947193136025E13
29300                     100                      6.559010890277418E-6     -3.389670002784937E-8    272.2521962856568        1.9720306909606004E13
29500                     100                      6.642644402961686E-6     -3.409408054422549E-8    271.5208089160718        1.9741141887851758E13
29700.000000000004        100                      6.726832145792148E-6     -3.42359462426448E-8     270.9176915407331        1.9761976866097508E13
29900.000000000004        100                      6.811588592677064E-6     -3.44248354374482E-8     270.2039799104152        1.9782811844343266E13
30099.999999999996        100                      6.896904209430247E-6     -3.4592394904759986E-8   269.5392137041533        1.980364682258902E13
30299.999999999996        100                      6.9827790189612395E-6    -3.473856420631389E-8    268.92149232855564       1.9824481800834773E13
30500                     100                      7.069222813268736E-6     -3.493184188941074E-8    268.195970045254         1.9845316779080527E13
30700                     100                      7.156221066957351E-6     -3.506949538074725E-8    267.59536785062346       1.986615175732628E13
30900                     100                      7.2437884501870565E-6    -3.525425996498642E-8    266.8871950707692        1.988698673557203E13
31100                     100                      7.3319152838144905E-6    -3.541764452306633E-8    266.2267306407913        1.990782171381779E13
31300                     100                      7.420601587810136E-6     -3.5559635917676436E-8   265.6121398314074        1.992865669206354E13
31500                     100                      7.509857266438173E-6     -3.574875560804372E-8    264.8926717341906        1.9949491670309293E13
31700                     100                      7.599667604852723E-6     -3.588222657390986E-8    264.2948879265249        1.997032664855505E13
31900                     100                      7.690047444044191E-6     -3.606282429402488E-8    263.59244748147285       1.9991161626800805E13
32100                     100                      7.780986978097842E-6     -3.622202518765654E-8    262.93651798214825       2.001199660504656E13
32300                     100                      7.872486224869454E-6     -3.635985929509292E-8    262.32533154236523       2.0032831583292312E13
32500                     100                      7.964555185453192E-6     -3.654477591353505E-8    261.6120810438005        2.0053666561538062E13
32700                     100                      8.057178980868903E-6     -3.6674096805730594E-8   261.01739532433464       2.007450153978382E13
32900                     100                      8.150372598999268E-6     -3.685049468034806E-8    260.3208567951392        2.009533651802957E13
33100                     100                      8.244126123865113E-6     -3.700550941562394E-8    259.6696728638978        2.0116171496275324E13
33300                     100                      8.338439571559186E-6     -3.7139210512801336E-8   259.06214264338223       2.013700647452108E13
33500                     100                      8.433323025505518E-6     -3.73198890485978E-8     258.3552518632635        2.0157841452766836E13
33700                     100                      8.52876146663206E-6      -3.7445095750052905E-8   257.7639232958167        2.017867643101259E13
33900                     100                      8.62477000770907E-6      -3.761727069265306E-8    257.0734363392932        2.0199511409258344E13
34100                     100                      8.721338638431788E-6     -3.776810411042026E-8    256.4271894285793        2.0220346387504094E13
34300                     100                      8.818467373198102E-6     -3.789770121321274E-8    255.82354817171614       2.0241181365749848E13
34500                     100                      8.91616636382365E-6      -3.807411714298499E-8    255.12314168770456       2.02620163439956E13
34700                     100                      9.014420473370767E-6     -3.8195249396065415E-8   254.53541122234796       2.0282851322241355E13
34900                     100                      9.113244919002702E-6     -3.8363188278203516E-8   253.85110896113213       2.0303686300487113E13
35100                     100                      9.21262961116196E-6      -3.8509853018112484E-8   253.20997418343364       2.0324521278732863E13
35300                     100                      9.312574562930834E-6     -3.863538081865653E-8    252.6104379723202        2.0345356256978617E13
35500                     100                      9.413089981409835E-6     -3.8807520810114254E-8   251.91662596721275       2.0366191235224375E13
35700                     100                      9.514160632271059E-6     -3.892462316365255E-8    251.3327186222116        2.0387026213470125E13
35900                     100                      9.615801817480393E-6     -3.9088323111365674E-8   250.65472051685722       2.040786119171588E13
36100                     100                      9.718003382263893E-6     -3.923083981187673E-8    250.01885907956873       2.0428696169961633E13
36300                     100                      9.820765339022159E-6     -3.935233923203864E-8    249.4236294469062        2.0449531148207387E13
36500                     100                      9.924097938180749E-6     -3.952020153080696E-8    248.73651034634068       2.047036612645314E13
36700                     100                      1.0027985867383366E-5    -3.9633324408846934E-8   248.15663708994134       2.049120110469889E13
36900                     100                      1.0132444494774488E-5    -3.979279337902509E-8    247.48505134907307       2.051203608294465E13
37100                     100                      1.0237463613144728E-5    -3.993119114005177E-8    246.85461262238394       2.0532871061190402E13
37300                     100                      1.0343043234465882E-5    -4.00487097021729E-8     246.26387837214799       2.0553706039436156E13
37500                     100                      1.0449193641314087E-5    -4.021230408853208E-8    245.5835410426737        2.057454101768191E13
37700                     100                      1.0555899461892102E-5    -4.032150454209232E-8    245.00790041068936       2.0595375995927664E13
37900                     100                      1.0663176113393423E-5    -4.047676196926036E-8    244.34282599552387       2.0616210974173418E13
38100                     100                      1.077101334819003E-5     -4.0611079361056146E-8   243.71794926127373       2.063704595241917E13
38300                     100                      1.0879411177669524E-5    -4.072467202659699E-8    243.13188804111442       2.065788093066492E13
38500                     100                      1.098837990560334E-5     -4.088401992307697E-8    242.45841363561107       2.067871590891068E13
38700                     100                      1.1097904117966136E-5    -4.0989361821152626E-8   241.88719314083437       2.0699550887156434E13
38900                     100                      1.1207999265092783E-5    -4.114043861935426E-8    241.2287214297215        2.0720385865402188E13
39100                     100                      1.1318655070651388E-5    -4.127072424582409E-8    240.60953734111695       2.074122084364794E13
39300                     100                      1.1429871545646252E-5    -4.138045449897771E-8    240.02831697072895       2.0762055821893695E13
39500                     100                      1.1541659004631111E-5    -4.153558983678812E-8    239.3617804525525        2.078289080013945E13
39700                     100                      1.1654002007155327E-5    -4.1637144772866673E-8   238.7951578119534        2.0803725778385203E13
39900                     100                      1.1766916021193958E-5    -4.1784083501157355E-8   238.14337400670414       2.082456075663096E13
40100                     100                      1.1880390752626097E-5    -4.191039598709182E-8    237.5300058369171        2.0845395734876707E13
40300                     100                      1.1994426212569673E-5    -4.201633623958523E-8    236.95378545324252       2.0866230713122465E13
40500                     100                      1.2109032716897392E-5    -4.216730587350829E-8    236.29425684253505       2.088706569136822E13
40700                     100                      1.2224194813889565E-5    -4.2265154349164475E-8   235.7324010252104        2.0907900669613973E13
40900                     100                      1.2339927974279672E-5    -4.240801003447188E-8    235.08738531377375       2.0928735647859727E13
41100                     100                      1.2456221896102618E-5    -4.253041871624712E-8    234.47995001960086       2.0949570626105477E13
41300                     100                      1.2573076590653809E-5    -4.263265074681202E-8    233.90888108191066       2.0970405604351234E13
41500                     100                      1.269050236612725E-5     -4.277951444595776E-8    233.25642649629054       2.0991240582596984E13
41700                     100                      1.2808483774263589E-5    -4.2873746531291446E-8   232.69949864124223       2.1012075560842742E13
41900.00000000001         100                      1.292703627479835E-5     -4.3012587324077135E-8   232.06132715801328       2.1032910539088496E13
42100                     100                      1.3046149567378746E-5    -4.313117331274886E-8    231.45993627892233       2.105374551733425E13
42300.00000000001         100                      1.3165823663213486E-5    -4.3229789282005875E-8   230.89416344315828       2.1074580495580004E13
42500                     100                      1.3286068853879214E-5    -4.337262019334156E-8    230.24884597259094       2.1095415473825758E13
42699.99999999999         100                      1.3406869708327245E-5    -4.346333597784851E-8    229.69700020982773       2.1116250452071508E13
